1558.10709740	-1969.74783061	77.53610229	8.07194328
1355.48395579	-1685.58834179	76.26033783	9.90451241
1762.13276335	-1781.45246116	78.94538862	9.28921301
1803.65974764	-1673.41425809	79.25091141	10.04588161
1891.85389148	-1465.66774575	79.78272095	11.35015937
1965.57549725	-1131.00333762	80.30167486	13.48506610
2179.20929613	-700.43655696	81.74103303	16.31556484
2540.71406291	-401.66031840	84.07672882	18.26659393
870.70517023	-324.15453529	72.89588662	18.76959639
1000.94542898	-857.55345093	73.86685047	15.37751609
1015.58639541	-888.64783671	73.97606773	15.06842411
1195.68501742	-1358.94111618	75.19387054	12.01013756
